央视频道1,#genre#
CCTV-9纪录,http://183.92.26.142:8123/rtp/228.0.0.9:6108
CCTV-10科教,http://183.92.26.142:8123/rtp/228.0.0.10:6108
CCTV-11戏曲,http://183.92.26.142:8123/rtp/228.0.0.242:6108
CCTV-12社会与法,http://183.92.26.142:8123/rtp/228.0.0.12:6108
CCTV-13新闻,http://183.92.26.142:8123/rtp/228.0.0.202:6108
CCTV-14少儿,http://183.92.26.142:8123/rtp/228.0.0.14:6108
CCTV-15音乐,http://183.92.26.142:8123/rtp/228.0.0.15:6108
CCTV-16奥林匹克,http://183.92.26.142:8123/rtp/228.0.0.249:6108
CCTV-17农业农村,http://183.92.26.142:8123/rtp/228.0.0.161:7161
CHC家庭影院,http://183.92.26.142:8123/rtp/228.0.0.211:6108
CHC动作电影,http://183.92.26.142:8123/rtp/228.0.0.212:6108
CHC影迷电影,http://183.92.26.142:8123/rtp/228.0.0.233:6108
CCTV第一剧场,http://183.92.26.142:8123/rtp/228.0.0.235:6108
CCTV风云足球,http://183.92.26.142:8123/rtp/228.0.0.236:6108
CCTV怀旧剧场,http://183.92.26.142:8123/rtp/228.0.0.237:6108

卫视频道1,#genre#
湖南卫视,http://113.56.95.223:8889/rtp/228.0.0.61:6108
浙江卫视,http://113.56.95.223:8889/rtp/228.0.0.65:6108
江苏卫视,http://113.56.95.223:8889/rtp/228.0.0.64:6108
东方卫视,http://113.56.95.223:8889/rtp/228.0.0.62:6108
北京卫视,http://113.56.95.223:8889/rtp/228.0.0.63:6108
广东卫视,http://113.56.95.223:8889/rtp/228.0.0.66:6108
深圳卫视,http://113.56.95.223:8889/rtp/228.0.0.67:6108
天津卫视,http://113.56.95.223:8889/rtp/228.0.0.120:6108
山东卫视,http://113.56.95.223:8889/rtp/228.0.0.121:6108
安徽卫视,http://113.56.95.223:8889/rtp/228.0.0.122:6108
辽宁卫视,http://113.56.95.223:8889/rtp/228.0.0.123:6108
东南卫视,http://113.56.95.223:8889/rtp/228.0.0.144:7144
江西卫视,http://113.56.95.223:8889/rtp/228.0.0.147:7147
重庆卫视,http://113.56.95.223:8889/rtp/228.0.0.159:7159
贵州卫视,http://113.56.95.223:8889/rtp/228.0.0.160:7160
河北卫视,http://113.56.95.223:8889/rtp/228.0.0.168:7168
甘肃卫视,http://113.56.95.223:8889/rtp/228.0.0.57:6108
广西卫视,http://113.56.95.223:8889/rtp/228.0.0.37:6108
海南卫视,http://113.56.95.223:8889/rtp/228.0.0.165:7165
河南卫视,http://113.56.95.223:8889/rtp/228.0.0.230:6108
四川卫视,http://113.56.95.223:8889/rtp/228.0.0.231:6108
吉林卫视,http://113.56.95.223:8889/rtp/228.0.0.45:6108
青海卫视,http://113.56.95.223:8889/rtp/228.0.0.54:6108
黑龙江卫视,http://113.56.95.223:8889/rtp/228.0.0.68:6108
山西卫视,http://113.56.95.223:8889/rtp/228.0.0.47:6108
陕西卫视,http://113.56.95.223:8889/rtp/228.0.0.56:6108
宁夏卫视,http://113.56.95.223:8889/rtp/228.0.0.30:6108
云南卫视,http://113.56.95.223:8889/rtp/228.0.0.48:6108
西藏卫视,http://113.56.95.223:8889/rtp/228.0.0.51:6108
内蒙古卫视,http://113.56.95.223:8889/rtp/228.0.0.52:6108
新疆卫视,http://113.56.95.223:8889/rtp/228.0.0.53:6108
三沙卫视,http://113.56.95.223:8889/rtp/228.0.0.174:7174
金鹰纪实,http://113.56.95.223:8889/rtp/228.0.0.145:7145
金鹰卡通,http://113.56.95.223:8889/rtp/228.0.0.59:6108
快乐垂钓,http://113.56.95.223:8889/rtp/228.0.0.203:6108
茶频道,http://113.56.95.223:8889/rtp/228.0.0.234:6108
先锋乒羽,http://113.56.95.223:8889/rtp/228.0.0.241:6108
CETV1,http://113.56.95.223:8889/rtp/228.0.0.146:7146
CETV2,http://113.56.95.223:8889/rtp/228.0.0.198:7198
CETV4,http://113.56.95.223:8889/rtp/228.0.0.177:7177
GCTN英语,http://113.56.95.223:8889/rtp/228.0.0.16:6108
IPTV靓妆,http://113.56.95.223:8889/rtp/228.0.0.86:6108
新动漫,http://113.56.95.223:8889/rtp/228.0.0.240:6108

卫视频道2,#genre#
湖南卫视,http://122.189.103.29:8010/rtp/228.0.0.61:6108
浙江卫视,http://122.189.103.29:8010/rtp/228.0.0.65:6108
江苏卫视,http://122.189.103.29:8010/rtp/228.0.0.64:6108
东方卫视,http://122.189.103.29:8010/rtp/228.0.0.62:6108
北京卫视,http://122.189.103.29:8010/rtp/228.0.0.63:6108
广东卫视,http://122.189.103.29:8010/rtp/228.0.0.66:6108
深圳卫视,http://122.189.103.29:8010/rtp/228.0.0.67:6108
天津卫视,http://122.189.103.29:8010/rtp/228.0.0.120:6108
山东卫视,http://122.189.103.29:8010/rtp/228.0.0.121:6108
安徽卫视,http://122.189.103.29:8010/rtp/228.0.0.122:6108
辽宁卫视,http://122.189.103.29:8010/rtp/228.0.0.123:6108
东南卫视,http://122.189.103.29:8010/rtp/228.0.0.144:7144
江西卫视,http://122.189.103.29:8010/rtp/228.0.0.147:7147
重庆卫视,http://122.189.103.29:8010/rtp/228.0.0.159:7159
贵州卫视,http://122.189.103.29:8010/rtp/228.0.0.160:7160
河北卫视,http://122.189.103.29:8010/rtp/228.0.0.168:7168
甘肃卫视,http://122.189.103.29:8010/rtp/228.0.0.57:6108
广西卫视,http://122.189.103.29:8010/rtp/228.0.0.37:6108
海南卫视,http://122.189.103.29:8010/rtp/228.0.0.165:7165
河南卫视,http://122.189.103.29:8010/rtp/228.0.0.230:6108
四川卫视,http://122.189.103.29:8010/rtp/228.0.0.231:6108
吉林卫视,http://122.189.103.29:8010/rtp/228.0.0.45:6108
青海卫视,http://122.189.103.29:8010/rtp/228.0.0.54:6108
黑龙江卫视,http://122.189.103.29:8010/rtp/228.0.0.68:6108
山西卫视,http://122.189.103.29:8010/rtp/228.0.0.47:6108
陕西卫视,http://122.189.103.29:8010/rtp/228.0.0.56:6108
宁夏卫视,http://122.189.103.29:8010/rtp/228.0.0.30:6108
云南卫视,http://122.189.103.29:8010/rtp/228.0.0.48:6108
西藏卫视,http://122.189.103.29:8010/rtp/228.0.0.51:6108
内蒙古卫视,http://122.189.103.29:8010/rtp/228.0.0.52:6108
新疆卫视,http://122.189.103.29:8010/rtp/228.0.0.53:6108
三沙卫视,http://122.189.103.29:8010/rtp/228.0.0.174:7174
金鹰纪实,http://122.189.103.29:8010/rtp/228.0.0.145:7145
金鹰卡通,http://122.189.103.29:8010/rtp/228.0.0.59:6108
快乐垂钓,http://122.189.103.29:8010/rtp/228.0.0.203:6108
茶频道,http://122.189.103.29:8010/rtp/228.0.0.234:6108
先锋乒羽,http://122.189.103.29:8010/rtp/228.0.0.241:6108
CETV1,http://122.189.103.29:8010/rtp/228.0.0.146:7146
CETV2,http://122.189.103.29:8010/rtp/228.0.0.198:7198
CETV4,http://122.189.103.29:8010/rtp/228.0.0.177:7177
GCTN英语,http://122.189.103.29:8010/rtp/228.0.0.16:6108
IPTV靓妆,http://122.189.103.29:8010/rtp/228.0.0.86:6108
新动漫,http://122.189.103.29:8010/rtp/228.0.0.240:6108

卫视频道3,#genre#
湖南卫视,http://122.189.103.39:8888/rtp/228.0.0.61:6108
浙江卫视,http://122.189.103.39:8888/rtp/228.0.0.65:6108
江苏卫视,http://122.189.103.39:8888/rtp/228.0.0.64:6108
东方卫视,http://122.189.103.39:8888/rtp/228.0.0.62:6108
北京卫视,http://122.189.103.39:8888/rtp/228.0.0.63:6108
广东卫视,http://122.189.103.39:8888/rtp/228.0.0.66:6108
深圳卫视,http://122.189.103.39:8888/rtp/228.0.0.67:6108
天津卫视,http://122.189.103.39:8888/rtp/228.0.0.120:6108
山东卫视,http://122.189.103.39:8888/rtp/228.0.0.121:6108
安徽卫视,http://122.189.103.39:8888/rtp/228.0.0.122:6108
辽宁卫视,http://122.189.103.39:8888/rtp/228.0.0.123:6108
东南卫视,http://122.189.103.39:8888/rtp/228.0.0.144:7144
江西卫视,http://122.189.103.39:8888/rtp/228.0.0.147:7147
重庆卫视,http://122.189.103.39:8888/rtp/228.0.0.159:7159
贵州卫视,http://122.189.103.39:8888/rtp/228.0.0.160:7160
河北卫视,http://122.189.103.39:8888/rtp/228.0.0.168:7168
甘肃卫视,http://122.189.103.39:8888/rtp/228.0.0.57:6108
广西卫视,http://122.189.103.39:8888/rtp/228.0.0.37:6108
海南卫视,http://122.189.103.39:8888/rtp/228.0.0.165:7165
河南卫视,http://122.189.103.39:8888/rtp/228.0.0.230:6108
四川卫视,http://122.189.103.39:8888/rtp/228.0.0.231:6108
吉林卫视,http://122.189.103.39:8888/rtp/228.0.0.45:6108
青海卫视,http://122.189.103.39:8888/rtp/228.0.0.54:6108
黑龙江卫视,http://122.189.103.39:8888/rtp/228.0.0.68:6108
山西卫视,http://122.189.103.39:8888/rtp/228.0.0.47:6108
陕西卫视,http://122.189.103.39:8888/rtp/228.0.0.56:6108
宁夏卫视,http://122.189.103.39:8888/rtp/228.0.0.30:6108
云南卫视,http://122.189.103.39:8888/rtp/228.0.0.48:6108
西藏卫视,http://122.189.103.39:8888/rtp/228.0.0.51:6108
内蒙古卫视,http://122.189.103.39:8888/rtp/228.0.0.52:6108
