央视频道,#genre#
新疆卫视,http://39.134.247.42:80/wh7f454c46tw1502893681_-229279981/180000001002/00000000000000020000000000182275/main.m3u8?
地方频道,#genre#
湖南电视剧,http://39.134.247.53:80/wh7f454c46tw1367405788_-578932276/180000001002/00000001000000000007000000001245/main.m3u8?
湖南电影,http://39.134.247.50:80/wh7f454c46tw1433187822_1825689696/180000001002/00000001000000000007000000001246/main.m3u8?
湖南都市,http://39.134.247.51:80/wh7f454c46tw1305220535_-1998455587/180000001002/00000001000000000007000000001249/main.m3u8?
湖南公共,http://39.134.247.46:80/wh7f454c46tw1634091335_1738937686/180000001002/00000001000000000008000000047425/main.m3u8?
湖南国际,http://39.134.247.47:80/wh7f454c46tw1696871642_-2120197228/180000001002/00000001000000000008000000047426/main.m3u8?
湖南教育,http://39.134.247.54:80/wh7f454c46tw1855533739_1366165873/180000001002/00000001000000000023000000196697/main.m3u8?
湖南经视,http://39.134.247.43:80/wh7f454c46tw950416716_-1151949218/180000001002/00000001000000000002000000113182/main.m3u8?
湖南娱乐,http://39.134.247.50:80/wh7f454c46tw1506038228_-994262810/180000001002/00000001000000000007000000001248/main.m3u8?
益阳新闻,http://39.134.13.35:6610/180000001001/00000001000000001024000000187764/main.m3u8?IASHttpSessionId=OTT
益阳公共,http://39.134.13.35:6610/180000001001/00000001000000001024000000187766/main.m3u8?IASHttpSessionId=OTT
数字影视,#genre#
CHC影迷电影,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000050000000448840/main.m3u8
CHC高清电影,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448841/main.m3u8
CHC动作电影,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000050000000448842/main.m3u8
第一剧场,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000091000000244808/main.m3u8
风云剧场,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000091000000244807/main.m3u8
怀旧剧场,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000091000000244806/main.m3u8
